Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Goals),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Team Id,Team Name,Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
[Backend] Refactorizar RolesController,IN-158,10426,Task,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,06/Apr/26 12:53 PM,06/Apr/26 12:53 PM,07/Apr/26 8:05 PM,,,0,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000yf:,,,,,,,,,,To Do,06/Apr/26 12:53 PM
[Backend] Implementar generacion de PDF desde backend,IN-157,10393,Task,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,06/Apr/26 12:14 PM,06/Apr/26 12:53 PM,06/Apr/26 12:53 PM,,,0,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000y7:,,,,,,,,,,To Do,06/Apr/26 12:15 PM
Alta de Reportes,IN-156,10392,Task,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,06/Apr/26 11:33 AM,06/Apr/26 11:33 AM,,,,0,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000xz:,Tablero Sprint 5,,,,,,,,,To Do,06/Apr/26 11:33 AM
[Frontend] - Consulta de reportes,IN-155,10391,Task,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,06/Apr/26 11:32 AM,06/Apr/26 11:32 AM,,,,0,,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,,,,,,,,,,,0|i000xr:,Tablero Sprint 5,,,,,,,,,To Do,06/Apr/26 11:32 AM
Implementar canal de sugerencias sobre perfiles de accesibilidad,IN-154,10358,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,03/Apr/26 2:47 PM,06/Apr/26 10:29 AM,06/Apr/26 10:29 AM,,,0,"Quiero que en el perfil de profesional tenga un acceso, a una opcion para agregar  una sugerencia sobre perfiles de accesibilidad, que el administrador va a gestionar esas sugerencias para darlas de alta o descartarlas ",,,,,,,,,,,,,,,0|i000x2:,,,,,,,,,,To Do,03/Apr/26 2:47 PM
Implementar panel de visualización de progreso y reportes para Familiar - Tutor,IN-153,10325,Story,Backlog,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,01/Apr/26 7:34 PM,06/Apr/26 11:24 AM,06/Apr/26 11:23 AM,,,0,"* *Como* Tutor,
* *Quiero* acceder a un panel donde pueda visualizar el progreso y los reportes de actividades del la persona con discapacidad a mi cargo,
* *Para* hacer un seguimiento continuo de su evolución y acompañar su desarrollo de manera informada.",,,,,,,,,,,,,,,0|i000x7:,,,,,,,,,,To Do,01/Apr/26 7:34 PM
sprint y cuestionario,IN-152,10324,Story,To Do,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,01/Apr/26 7:22 PM,05/Apr/26 9:20 PM,,,,0,"armar un cuestionario para insititucion y familia.
armar los sprint en las carpetas",,,,,,,,,,,,,,,0|i000xb:,Tablero Sprint N (En Curso),,,,,,,,,To Do,01/Apr/26 7:22 PM
Tratar con Mauricio los requerimientos,IN-151,10323,Story,To Do,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,01/Apr/26 7:20 PM,05/Apr/26 9:20 PM,04/Apr/26 5:06 PM,,,0,"tocar temas como alcanses, requerimientos y relevamientos ",,,,,,,,,,,,,,,0|i000x1:,Tablero Sprint N (En Curso),,,,,,,,,To Do,01/Apr/26 7:20 PM
Implementar flujo de selección institucional y validación por Administrador,IN-150,10290,Story,For Review,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,31/Mar/26 2:04 PM,04/Apr/26 3:44 PM,06/Apr/26 12:44 AM,,,0,"* *Como* Profesional,
* *Quiero* seleccionar la institución a la que pertenezco durante mi registro,
* *Para* que los responsables de dicha entidad puedan verificar mi identidad y otorgarme el alta definitiva.
* *Como* Administrador de Institución,
* *Quiero* visualizar una lista de solicitudes de registro *Pending* (pendientes),
* *Para* validar los datos del profesional y activar su acceso al sistema o rechazar la solicitud si los datos son incorrectos.",,,,,,,,,,,,,,,0|i000xj:,Tablero Sprint N (En Curso),,,7ad14c0b-777d-4448-bc69-53c5e2cc4aad,Tesis,,,,,In Progress,31/Mar/26 2:11 PM
Implementar flujo de auto-registro (Sign-up) para el rol Profesional,IN-149,10289,Story,For Review,IN,Proyecto InclusiON,software,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,,Medium,,Mirko Ivo Wlk,5f5ac84710d187006f3f2792,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,Sacha Del Barrio,712020:7c75e354-30b3-44b2-8e1e-0cd0516541b1,31/Mar/26 2:02 PM,04/Apr/26 3:44 PM,06/Apr/26 12:44 AM,,,0,"*como* Profesional, *Quiero* poder registrarme en la plataforma creando mis propias credenciales de acceso",,,,,,,,,,,,,,,0|i000wz:,Tablero Sprint N (En Curso),,,,,,,,,In Progress,03/Apr/26 1:48 AM
